urdu,roman_urdu
ایک دِن مَیں ضرور آؤں گا,ek din main zaroor aaoonga
اِن دنوں بہت بزی ہوں,in dino bahut busy hun
دِن ڈھلے بعد میں آؤ,din dhale baad mein aao
پہلے دِن سے ہی اچھا لگ رہا تھا,pehle din se hi acha lag raha tha
کچھ دِن کے لیے باہر جا رہا ہوں,kuch din ke liye bahar ja raha hun
اُس دِن کیا ہوا تھا تمہارے ساتھ,uss din kya hua tha tumhare sath
یہ دِن کافی مشکل تھا میرے لیے,yeh din kaafi mushkil tha mere liye
نظر مت لگاؤ,nazar mat lagao
اُس کی نظر اچھی ہے,uski nazar achi hai
کسی کی نظر نہ لگے,kisi ki nazar na lage
میری نظر کمزور ہو گئی,meri nazar kamzor ho gayi
اُس کی نظر اِس چیز پر ہے,uski nazar iss cheez par hai
نظر آ رہا ہے کچھ,nazar aa raha hai kuch
نظر سے اوجھل ہو گیا وہ,nazar se ojhal ho gaya woh
نظر رکھنا اِس پہ,nazar rakhna iss pe
ڈاکٹر نے کہا نظر کمزور ہے,doctor ne kaha nazar kamzor hai
نظر آتا ہے پر پکڑ نہیں سکتا,nazar aata hai par pakad nahi sakta
تیری نظر میری طرف کیوں تھی,teri nazar meri taraf kyu thi
نظر اتار لو اُس کی,nazar utaar lo uski
بچہ ہے، نظر لگ جاتی ہے,"bacha hai, nazar lag jaati hai"
کچھ نظر نہیں آ رہا اندھیروں میں,kuch nazar nahi aa raha andheron mein
اُس کی نظر میرے فون پہ تھی,uski nazar mere phone pe thi
سامان پیک کر لو,saman pack kar lo
میرا سامان کہاں ہے,mera saman kahan hai
اتنا سامان کہاں سے لائے,itna saman kahan se laye
سامان اٹھا کے آ جاؤ,saman utha ke aa jao
گھر کا سامان شفٹ کرنا ہے,ghar ka saman shift karna hai
زیادہ سامان مت لینا سفر میں,zyada saman mat lena safar mein
سامان بھر گیا ہے اندر,saman bhar gaya hai andar
ائرپورٹ پہ سامان چیک اِن کرو,airport pe saman check in karo
سامان کھو گیا تھا,saman kho gaya tha
تیرا سامان یہاں رکھ دیا,tera saman yahan rakh diya
سامان اٹھانے میں مدد کرو,saman uthane mein madad karo
گھر میں زیادہ سامان آ گیا ہے,ghar mein zyada saman aa gaya hai
سامان ڈھنگ سے رکھو,saman dhang se rakho
بچوں کا سامان الگ رکھنا,bacchon ka saman alag rakhna
گاڑی میں سامان فِٹ نہیں ہوا,gaadi mein saman fit nahi hua
مجھے پتہ ہے,mujhe pata hai
مجھے پتہ نہیں,mujhe pata nahi
کیا پتہ تھا,kya pata tha
پتہ نہیں کہاں گیا,pata nahi kahan gaya
پتہ چل گیا,pata chal gaya
پتہ نہیں کیوں,pata nahi kyun
تمہیں پتہ تھا نا,tumhe pata tha na
مجھے کچھ پتہ نہیں تھا,mujhe kuch pata nahi tha
پتہ چل جائے گا وقت کے ساتھ,pata chal jayega waqt ke sath
اُنہیں کچھ پتہ نہیں,unhe kuch pata nahi
کسی کو پتہ نہیں چلنا چاہیے,kisi ko pata nahi chalna chahiye
گھر کا پتہ بتا دو,ghar ka pata bata do
ایڈریس پتہ کرو پہلے,address pata karo pehle
اُس دکان کا پتہ پتہ کرو,us dukaan ka pata pata karo
اُس کا گھر کا پتہ بتا,uska ghar ka pata bata
یہ پتہ سہی ہے نا,yeh pata sahi hai na
مجھے پتہ تھا یہی ہو گا,mujhe pata tha yahi hoga
اب پتہ چلا کیوں دیر ہوئی,ab pata chala kyon der hua
پتہ ہوتا تو کب کا بتا دیتا,pata hota to kab ka bata deta
پتہ نہیں اُسے کیا پرابلم ہے,pata nahi usse kya problem hai
ڈیٹا ختم ہو گیا,data khatam ho gaya
موبائل کا ڈیٹا نہیں ہے,mobile ka data nahi hai
ڈیٹا آن کرو,data on karo
ڈیٹا بند کر لینا بتاؤ,data band kar lena batao
ڈیٹا سستا نہیں یہاں,data sasta nahi yahan
پیکج میں کتنا ڈیٹا ہے,package mein kitna data hai
ڈیٹا استعمال ہو گیا تھا پورا,data use ho gaya tha poora
کچھ ڈیٹا سیو کرو پہلے,kuch data save karo pehle
بیک اَپ لے لو ڈیٹا کا,backup le lo data ka
ڈیٹا ڈیلیٹ ہو گیا میرا,data delete ho gaya mera
وائی فائی پہ ڈیٹا نہیں لگتا,wifi pe data nahi lagta
ڈیٹا سلو ہو رہا ہے نیٹ ورک کا,data slow ho raha hai network ka
زیادہ ڈیٹا استعمال مت کرو,zyada data use mat karo
میرا ڈیٹا شیئر کرو تھوڑا,mera data share karo thoda
ڈیٹا رومنگ آن ہے کیا,data roaming on hai kya
یہاں اتر جاؤ,yahan utar jao
گاڑی سے اتر,gaadi se utar
اگلی اسٹاپ پہ اتر جانا,agli stop pe utar jaana
اتر گیا وہ گاڑی سے,utar gaya woh gaadi se
مَیں اتر رہا ہوں,main utar raha hun
بس سے اتر کے سیدھا آ جاؤ,bus se utar ke seedha aa jao
پہاڑ سے اترنا مشکل تھا,pahad se utar na mushkil tha
دھیرے دھیرے اتر رہا تھا,dheere dheere utar raha tha
اتر کے کال کرنا,utar ke call karna
رکشہ سے اتر گئے,rickshaw se utar gaye
جوتے اتار کے اندر آؤ,joote utaar ke andar aao
جیکٹ اتار دو گرمی لگ رہی ہے,jacket utaar do garmi lag rahi hai
چشمہ اتار کے رکھو,chashma utaar ke rakho
کپڑے اتار کے دھو دینا,kapray utaar ke dho dena
گھڑی اتار کے رکھی تھی,ghadi utaar ke rakhi thi
مار مت,maar mat
اُس نے مارا مجھے,usne maara mujhe
مار دیا,maar diya
کیوں مارا اُس نے,kyu maara usne
بچے کو مت مارو,bacche ko mat maaro
اُس نے بہت مارا,usne bahut maara
مار کے اٹھایا,maar ke uthaya
مچھر کو مارو,macchar ko maaro
جان سے مار ڈالا,jaan se maar dala
دل پہ مار گئی بات,dil pe maar gayi baat
یہ بات مار گئی,yeh baat maar gayi
گرم دھوپ مار رہی ہے,garm dhoop maar rahi hai
گھبراؤ مت کوئی نہیں مار رہا,ghabrayo mat koi nahi maar raha
بچپن میں بہت مار کھایا,bachpan mein bahut maar khaya
مار سے نہیں ڈرتا وہ,maar se nahi darted woh
مار کے بھی کچھ نہیں ہوتا اِن پہ,maar ke bhi kuch nahi hota in pe
سیل چل رہی ہے,sale chal rahi hai
سیل پہ ملا تھا,sale pe mila tha
بڑی سیل ہے آج,badi sale hai aaj
سیل میں خریدا تھا,sale mein kharida tha
آن لائن سیل ہے کل سے,online sale hai kal se
سیل پہ سب سستا ملتا ہے,sale pe sab sasta milta hai
یہ کپڑے سیل میں لیے تھے,yeh kapray sale mein liye the
فون سیل پہ آ گیا ہے,phone sale pe aa gaya hai
عید سیل بہت بڑی تھی اِس بار,eid sale bahut badi thi is baar
سیل سے پہلے پرائس چیک کرو,sale se pehle price check karo
50 % سیل چل رہی ہے ابھی,50% sale chal rahi hai abhi
سیل کے لیے لائن میں کھڑے ہیں,sale ke liye line mein khade hain
آج آخری دن ہے سیل کا,aaj last day hai sale ka
یہ سیل ہر سال آتی ہے,yeh sale har saal aati hai
سیل والی چیز ریٹرن نہیں ہوتی,sale wali cheez return nahi hoti
وہی کِیا جو کہا تھا,wahi kiya jo kaha tha
وہی آیا ہے جو تھا,wahi aaya hai jo tha
وہی بات پھر سے,wahi baat phir se
وہی پرابلم ہے ابھی بھی,wahi problem hai abhi bhi
وہی شخص تھا,wahi shaks tha
وہی ٹائم پہ گیا,wahi time pe gaya
وہی کر جو سمجھ میں آئے,wahi kar jo samajh mein aaye
وہی ہو گا جو ہونا تھا,wahi hoga jo hona tha
اُسی نے کِیا تھا وہی,usi ne kiya tha wahi
وہی چیز چاہیے تھی,wahi cheez chahiye thi
وہی نمبر تھا اُس کا,wahi number tha uska
وہی ہوا جو مجھے پتہ تھا,wahi hua jo mujhe pata tha
یار وہی ہو گیا پھر,yaar wahi ho gaya phir
وہی غلطی دوبارہ مت کرنا,wahi galti dobara mat karna
وہی والا فون چاہیے تھا,wahi waala phone chahiye tha
وہی بول رہا تھا جو تم سوچ رہے ہو,wahi bol raha tha jo tum soch rahe ho
بہت بد انسان ہے وہ,bahut bad insaan hai woh
بد عادت ہے یہ,bad aadat hai yeh
بد قسمت ہوں مَیں,bad qismat hun main
اِس کا بد نصیب ہی تھا,iska bad naseeb hi tha
بد کردار ہے بالکل,bad kirdaar hai bilkul
بد معاش لگ رہا ہے,bad mash lag raha hai
بد نیتی سے کام کِیا اُس نے,bad niyati se kaam kiya usne
اتنا بد کیوں ہے,itna bad kyun hai
بد زبان بندہ ہے,bad zubaan banda hai
بد مزاج ہے وہ,bad mijaaj hai woh
اُس نے مانی نہیں,usne mani nahi
مانی لو یار,mani lo yaar
تم نے مانی ہے نا,tune mani hai na
بات مانی اُس نے,baat mani us ne
کیا تم نے مانی,kya tune mani
مانی نہیں تو مت لاؤ,mani nahi to maat lao
اُس نے میری بات مانی,usne meri baat mani
پھر بھی مانی نہیں اُس نے,phir bhi mani nahi usne
مانی یا نہیں,mani ya nahi
کبھی مانی نہیں اُس نے,kabhi mani nahi usne
اِس بات کے معنی سمجھ نہیں آئے,is baat ke maani samajh nahi aaye
اِس لفظ کے معنی کیا ہیں,is lafz ke maani kya hain
معنی سمجھو پہلے,maani samjho pehle
صحیح معنی میں نہیں سمجھا,sahi maani mein nahi samjha
اِن الفاظ کے معنی بتا دو,in alfaaz ke maani bata do
مَیں ہوں یہاں,main hun yahan
مَیں آ رہا ہوں,main aa raha hun
مَیں نہیں آیا,main nahi aaya
مَیں ٹھیک ہوں,main theek hun
مَیں سوچ رہا تھا,main soch raha tha
مَیں سمجھا نہیں,main samjha nahi
مَیں کیا کروں,main kya karu
مَیں بھی تھا وہاں,main bhi tha wahan
مَیں نہیں چاہتا یہ,main nahi chahta yeh
مَیں دیکھ رہا ہوں,main dekh raha hun
مَیں کل بات کرتا ہوں,main kal baat karta hun
مَیں تمہارے ساتھ ہوں,main tumhare sath hun
مَیں سمجھ گیا اب,main samajh gaya ab
مَیں پہلے بھی کہہ چکا ہوں,main pehle bhi keh chuka hun
مَیں آج بہت تھکا ہوا ہوں,main aaj bahut thaka hua hun
یہ مین روڈ ہے,yeh main road hai
مین گیٹ پہ آ جاؤ,main gate pe aa jao
مین ہال میں بیٹھنا,main hall mein baithna
سیدھا مین روڈ پہ آ جاؤ,seedha main road pe aa jao
ٹھیک ہوں مَیں,theek hun main
تھکا ہوا ہوں,thaka hua hun
ابھی آتا ہوں,abhi aata hun
سوچ رہا ہوں,soch raha hun
جا رہا ہوں,ja raha hun
کھانا کھا رہا ہوں,khaana kha raha hun
سو رہا تھا,so raha tha hun
آ رہا ہوں دو منٹ میں,aa raha hun do minute mein
بزی ہوں تھوڑا,busy hun thoda
بات کر رہا ہوں,baat kar raha hun
نہیں ہوں وہاں,nahi hun wahan
ٹھیک نہیں ہوں آج,theek nahi hun aaj
سمجھ نہیں پا رہا ہوں,samajh nahi pa raha hun
انتظار کر رہا ہوں,wait kar raha hun
کل سے پریشان ہوں,kal se pareshan hun
کچھ نہیں کر رہا ہوں,kuch nahi kar raha hun
دیکھ رہا ہوں کیا ہو رہا ہے,dekh raha hun kya ho raha hai
میری جان,meri jaan
جان چھوڑ دو,jaan chhor do
اُس کی جان خطرے میں ہے,uski jaan khatray mein hai
یار جان چھوڑو میری,yaar jaan chhodo meri
جان خطر میں ڈال دی,jaan khatar mein daal di
تیری جان کی قسم,teri jaan ki kasam
جان بچی تو لاکھوں پائے,jaan bachi to lakhon paaye
اپنی جان سے زیادہ چاہتا ہوں تجھے,apni jaan se zyada chahta hun tujhe
جان دو یار اِس بات کو,jaan do yaar is baat ko
اتنی بڑی جان کا سوال ہے,itni badi jaan ka sawaal hai
وہ میری جان ہے,woh meri jaan hai
جان پہ بن آئی,jaan pe bann ayi
ہاں ٹھیک ہے,haan theek hai
ہاں آ جاؤ,haan aa jao
ہاں مَیں ہوں,haan main hun
ہاں بھائی کیا ہوا,haan bhai kya hua
ہاں مجھے پتہ ہے,haan mujhe pata hai
ہاں یار سہی کہہ رہا ہے,haan yaar sahi keh raha hai
ہاں کر دو,haan kar do
ہاں کل ملتے ہیں,haan kal milte hain
ہاں وہی سوچتا تھا مَیں بھی,haan wahi sochta tha main bhi
ہاں بالکل,haan bilkul
ہاں کچھ دیر میں آتا ہوں,haan kuch der mein aata hun
ہاں پکا,haan pakka
ہاں بھائی ضرور,haan bhai zaroor
ہاں یار کیا کریں اب,haan yaar kya karein ab
ہاں اُس دِن بات ہوئی تھی,haan uss din baat hui thi
ہاں تو اب کیا پلان ہے,haan to ab kya plan hai
امن ہونا چاہیے,aman hona chahiye
ملک میں امن ہو,desh mein aman ho
گھر میں امن چاہیے,ghar mein aman chahiye
امن سے رہو,aman se raho
امن برباد کر دیا اُس نے,aman barbad kar diya usne
امن چاہتے ہیں سب,aman chahte hain sab
امن ہو گا تو سب ٹھیک ہو گا,aman hoga to sab theek hoga
یہ گھر میرا امن کا جگہ تھا,yeh ghar mera aman ka jagah tha
امن چین سے جینا چاہتے ہیں,aman chain se jeena chahte hain
امن کے لیے کچھ بھی کر سکتے ہیں,aman ke liye kuch bhi kar sakte hain
بجلی کا تار ٹوٹ گیا,bijli ka tar toot gaya
تار جوڑ دو,tar jod do
تار کھینچ کے لاؤ,tar kheench ke lao
ایئرفون کا تار خراب ہو گیا,earphone ka tar kharab ho gaya
چارجر کا تار نہیں مل رہا,charger ka tar nahi mil raha
تار الجھ گیا,tar ulajh gaya
فون کا تار بہت چھوٹا ہے,phone ka tar bahut chota hai
تار سے کرنٹ آ رہا ہے,tar se current aa raha hai
کوئی تار نہیں ہے یہاں,koi tar nahi hai yahan
بجلی کا تار ننگے ہاتھ سے مت پکڑو,bijli ka tar nange haath se mat pakdo
ڈیٹا کیبل کا تار لاؤ,data cable ka tar lao
اسپیکر کا تار لگا دو,speaker ka tar laga do
میز پر رکھ دو,mez par rakh do
وہ دروازے پر ہے,woh darwaze par hai
فون پر بات کرو,phone par baat karo
ٹیبل پر رکھا تھا,table par rakha tha
یہ پر لکھ دو,yeh par likh do
صوفہ پر بیٹھو,sofa par baitho
چھت پر مت جاؤ,chhatt par mat jao
زمین پر بیٹھ گیا,zameen par baith gaya
دیوار پر کچھ لکھا تھا,deewar par kuch likha tha
بیڈ پر سو رہا تھا,bed par so raha tha
اُس کی نظر میری طرف پر تھی,uski nazar meri taraf par thi
اسکول پر جا رہا ہوں,school par ja raha hun
پر کیا کروں مَیں,par kya karu main
ہاں پر ابھی ٹائم نہیں,haan par abhi time nahi
چاہیے تھا پر نہیں ملا,chahiye tha par nahi mila
بہت کوشش کی پر کچھ نہیں ہوا,bahut koshish ki par kuch nahi hua
مَیں آنا چاہتا تھا پر کام تھا,main aana chahta tha par kaam tha
دیر سے آیا پر آ گیا,der se aaya par aa gaya
ٹھیک تھا پر تھوڑا عجیب لگا,theek tha par thoda ajeeb laga
پھر ملیں گے,phir milenge
پھر آؤ,phir aao
پھر وہی ہوا,phir wahi hua
پھر کیا کیا,phir kya kiya
پھر بھی نہیں آیا,phir bhi nahi aaya
پھر سے کرو گے کیا,phir se karoge kya
پھر سوچو,phir socho
پھر پتہ نہیں,phir pata nahi
پھر ٹھیک ہو جائے گا,phir theek ho jaayega
پھر گیا وہ,phir gaya woh
پھر کل بات کرتے ہیں,phir kal baat karte hain
پھر سے آئی وہی بات,phir se aayi wahi baat
کھا لو پھر سونا,kha lo phir sona
پھر نہیں ملو گے,phir nahi miloge
پھر ہو گا کیا,phir hoga kya
پھر بھی دل نہیں مانا,phir bhi dil nahi mana
پھر سے ٹرائی کرو,phir se try karo
دیکھو پھر جا کے,dekho phir jaake
پھر بات کرتے ہیں کچھ دیر میں,phir baat karte hain kuch der mein
پھر تم نے وہی کِیا جو کرنا ہی نہیں تھا,phir tum ne wahi kiya jo karna tha hi nahi
